problem,cpp_checksum,python2_checksum,match,error
736__parse-lisp-expression,56,56,True,
741__cherry-pickup,73,73,True,
750__contain-virus,82,82,True,
754__cracking-the-safe,2787,2787,True,
759__set-intersection-size-at-least-two,43,43,True,
763__special-binary-string,64,64,True,
779__max-chunks-to-make-sorted-ii,26,26,True,
787__sliding-puzzle,43,43,True,
796__reaching-points,6,6,True,
798__transform-to-chessboard,6,6,True,
809__preimage-size-of-factorial-zeroes-function,35,35,True,
814__smallest-rotation-with-highest-score,3,3,True,
819__minimum-swaps-to-make-sequences-increasing,15,15,True,
823__split-array-with-same-average,6,5,False,
836__race-car,83,83,True,
854__making-a-large-island,59,59,True,
855__count-unique-characters-of-all-substrings-of-a-given-string,12809,12809,True,
85__maximal-rectangle,42,42,True,
863__sum-of-distances-in-tree,1260,1260,True,
877__shortest-path-visiting-all-nodes,47,47,True,
884__k-similar-strings,26,26,True,
894__random-pick-with-blacklist,33345,19121,False,
895__shortest-path-to-get-all-keys,52,52,True,
902__minimum-number-of-refueling-stops,18,18,True,
910__nth-magical-number,-355676494,3939290802,False,
911__profitable-schemes,1048,1048,True,
918__reachable-nodes-in-subdivided-graph,2000000141,2000000141,True,
923__super-egg-drop,10090,10090,True,
927__sum-of-subsequence-widths,179139693,179139693,True,
938__numbers-at-most-n-given-digit-set,435932235,435932235,True,
939__valid-permutations-for-di-sequence,166837,166837,True,
942__super-palindromes,23,22,False,
949__cat-and-mouse,10,10,True,
956__number-of-music-playlists,117867,117867,True,
963__three-equal-parts,20,20,True,
973__stamping-the-sequence,113,113,True,
980__find-the-shortest-superstring,115,115,True,
