slug,title,created_at,question_id,python_path,cpp_path_mirror,cpp_path_global
find-x-sum-of-all-k-long-subarrays-ii,Find X-Sum of All K-Long Subarrays II,2024-10-13,3592,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3321__find-x-sum-of-all-k-long-subarrays-ii/python/find-x-sum-of-all-k-long-subarrays-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3321__find-x-sum-of-all-k-long-subarrays-ii/cpp_gpt/find-x-sum-of-all-k-long-subarrays-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-x-sum-of-all-k-long-subarrays-ii/find-x-sum-of-all-k-long-subarrays-ii.cpp
check-if-dfs-strings-are-palindromes,Check if DFS Strings Are Palindromes,2024-10-20,3603,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3327__check-if-dfs-strings-are-palindromes/python/check-if-dfs-strings-are-palindromes.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3327__check-if-dfs-strings-are-palindromes/cpp_gpt/check-if-dfs-strings-are-palindromes.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/check-if-dfs-strings-are-palindromes/check-if-dfs-strings-are-palindromes.cpp
find-the-original-typed-string-ii,Find the Original Typed String II,2024-10-26,3618,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3333__find-the-original-typed-string-ii/python/find-the-original-typed-string-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3333__find-the-original-typed-string-ii/cpp_gpt/find-the-original-typed-string-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-original-typed-string-ii/find-the-original-typed-string-ii.cpp
find-the-number-of-subsequences-with-equal-gcd,Find the Number of Subsequences With Equal GCD,2024-10-27,3608,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3336__find-the-number-of-subsequences-with-equal-gcd/python/find-the-number-of-subsequences-with-equal-gcd.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3336__find-the-number-of-subsequences-with-equal-gcd/cpp_gpt/find-the-number-of-subsequences-with-equal-gcd.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-number-of-subsequences-with-equal-gcd/find-the-number-of-subsequences-with-equal-gcd.cpp
total-characters-in-string-after-transformations-ii,Total Characters in String After Transformations II,2024-10-27,3630,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3337__total-characters-in-string-after-transformations-ii/python/total-characters-in-string-after-transformations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3337__total-characters-in-string-after-transformations-ii/cpp_gpt/total-characters-in-string-after-transformations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/total-characters-in-string-after-transformations-ii/total-characters-in-string-after-transformations-ii.cpp
count-number-of-balanced-permutations,Count Number of Balanced Permutations,2024-11-03,3637,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3343__count-number-of-balanced-permutations/python/count-number-of-balanced-permutations.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3343__count-number-of-balanced-permutations/cpp_gpt/count-number-of-balanced-permutations.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-number-of-balanced-permutations/count-number-of-balanced-permutations.cpp
maximum-frequency-of-an-element-after-performing-operations-ii,Maximum Frequency of an Element After Performing Operations II,2024-11-09,3640,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3347__maximum-frequency-of-an-element-after-performing-operations-ii/python/maximum-frequency-of-an-element-after-performing-operations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3347__maximum-frequency-of-an-element-after-performing-operations-ii/cpp_gpt/maximum-frequency-of-an-element-after-performing-operations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-frequency-of-an-element-after-performing-operations-ii/maximum-frequency-of-an-element-after-performing-operations-ii.cpp
smallest-divisible-digit-product-ii,Smallest Divisible Digit Product II,2024-11-09,3635,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3348__smallest-divisible-digit-product-ii/python/smallest-divisible-digit-product-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3348__smallest-divisible-digit-product-ii/cpp_gpt/smallest-divisible-digit-product-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/smallest-divisible-digit-product-ii/smallest-divisible-digit-product-ii.cpp
count-k-reducible-numbers-less-than-n,Count K-Reducible Numbers Less Than N,2024-11-10,3631,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3352__count-k-reducible-numbers-less-than-n/python/count-k-reducible-numbers-less-than-n.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3352__count-k-reducible-numbers-less-than-n/cpp_gpt/count-k-reducible-numbers-less-than-n.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-k-reducible-numbers-less-than-n/count-k-reducible-numbers-less-than-n.cpp
find-the-maximum-number-of-fruits-collected,Find the Maximum Number of Fruits Collected,2024-11-23,3648,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3363__find-the-maximum-number-of-fruits-collected/python/find-the-maximum-number-of-fruits-collected.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3363__find-the-maximum-number-of-fruits-collected/cpp_gpt/find-the-maximum-number-of-fruits-collected.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-maximum-number-of-fruits-collected/find-the-maximum-number-of-fruits-collected.cpp
maximize-sum-of-weights-after-edge-removals,Maximize Sum of Weights after Edge Removals,2024-11-24,3675,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3367__maximize-sum-of-weights-after-edge-removals/python/maximize-sum-of-weights-after-edge-removals.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3367__maximize-sum-of-weights-after-edge-removals/cpp_gpt/maximize-sum-of-weights-after-edge-removals.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-sum-of-weights-after-edge-removals/maximize-sum-of-weights-after-edge-removals.cpp
maximize-the-number-of-target-nodes-after-connecting-trees-ii,Maximize the Number of Target Nodes After Connecting Trees II,2024-12-01,3645,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3373__maximize-the-number-of-target-nodes-after-connecting-trees-ii/python/maximize-the-number-of-target-nodes-after-connecting-trees-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3373__maximize-the-number-of-target-nodes-after-connecting-trees-ii/cpp_gpt/maximize-the-number-of-target-nodes-after-connecting-trees-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximize-the-number-of-target-nodes-after-connecting-trees-ii/maximize-the-number-of-target-nodes-after-connecting-trees-ii.cpp
count-connected-components-in-lcm-graph,Count Connected Components in LCM Graph,2024-12-07,3680,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3378__count-connected-components-in-lcm-graph/python/count-connected-components-in-lcm-graph.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3378__count-connected-components-in-lcm-graph/cpp_gpt/count-connected-components-in-lcm-graph.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-connected-components-in-lcm-graph/count-connected-components-in-lcm-graph.cpp
maximum-area-rectangle-with-point-constraints-ii,Maximum Area Rectangle With Point Constraints II,2024-12-08,3689,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3382__maximum-area-rectangle-with-point-constraints-ii/python/maximum-area-rectangle-with-point-constraints-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3382__maximum-area-rectangle-with-point-constraints-ii/cpp_gpt/maximum-area-rectangle-with-point-constraints-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-area-rectangle-with-point-constraints-ii/maximum-area-rectangle-with-point-constraints-ii.cpp
minimum-operations-to-make-character-frequencies-equal,Minimum Operations to Make Character Frequencies Equal,2024-12-15,3638,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3389__minimum-operations-to-make-character-frequencies-equal/python/minimum-operations-to-make-character-frequencies-equal.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3389__minimum-operations-to-make-character-frequencies-equal/cpp_gpt/minimum-operations-to-make-character-frequencies-equal.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-operations-to-make-character-frequencies-equal/minimum-operations-to-make-character-frequencies-equal.cpp
subsequences-with-a-unique-middle-mode-i,Subsequences with a Unique Middle Mode I,2024-12-21,3700,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3395__subsequences-with-a-unique-middle-mode-i/python/subsequences-with-a-unique-middle-mode-i.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3395__subsequences-with-a-unique-middle-mode-i/cpp_gpt/subsequences-with-a-unique-middle-mode-i.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/subsequences-with-a-unique-middle-mode-i/subsequences-with-a-unique-middle-mode-i.cpp
smallest-substring-with-identical-characters-i,Smallest Substring With Identical Characters I,2024-12-22,3690,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3398__smallest-substring-with-identical-characters-i/python/smallest-substring-with-identical-characters-i.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3398__smallest-substring-with-identical-characters-i/cpp_gpt/smallest-substring-with-identical-characters-i.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/smallest-substring-with-identical-characters-i/smallest-substring-with-identical-characters-i.cpp
smallest-substring-with-identical-characters-ii,Smallest Substring With Identical Characters II,2024-12-22,3706,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3399__smallest-substring-with-identical-characters-ii/python/smallest-substring-with-identical-characters-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3399__smallest-substring-with-identical-characters-ii/cpp_gpt/smallest-substring-with-identical-characters-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/smallest-substring-with-identical-characters-ii/smallest-substring-with-identical-characters-ii.cpp
count-the-number-of-arrays-with-k-matching-adjacent-elements,Count the Number of Arrays with K Matching Adjacent Elements,2024-12-29,3682,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3405__count-the-number-of-arrays-with-k-matching-adjacent-elements/python/count-the-number-of-arrays-with-k-matching-adjacent-elements.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3405__count-the-number-of-arrays-with-k-matching-adjacent-elements/cpp_gpt/count-the-number-of-arrays-with-k-matching-adjacent-elements.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-the-number-of-arrays-with-k-matching-adjacent-elements/count-the-number-of-arrays-with-k-matching-adjacent-elements.cpp
